0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,1
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,1
391,0
392,0
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,1
478,0
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,1
568,0
569,1
570,0
571,1
572,0
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,0
582,1
583,1
584,0
585,1
586,0
587,1
588,1
589,1
590,1
591,1
592,0
593,0
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,0
617,0
618,0
619,1
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,1
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,0
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,1
658,1
659,0
660,0
661,1
662,1
663,0
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,1
688,1
689,0
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,0
719,0
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,1
738,1
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,0
747,1
748,0
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,1
765,1
766,1
767,1
768,1
769,0
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
